Cod.;Nome;Fornecedor;Valor Unit.;Prazo recarga;Prazo cartão novo;UF;Cidade;Data Tarifa
9559;Metropasse - Cartão A0815 Urb - Simões Filho X Terminal da França via AV. Suburbana;Metropasse;5,20;5;10;BA;Salvador;01/04/2024
9574;Metropasse - Cartão A0884 - Vila de Abrantes X Lapa;Metropasse;5,20;5;10;BA;Salvador;01/04/2024
9575;Metropasse - Cartão A0884A - Jaua X Lapa;Metropasse;5,20;5;10;BA;Salvador;01/04/2024
9577;Metropasse - Cartão A0885A - Jaua X Estação Mussurunga;Metropasse;5,20;5;10;BA;Salvador;01/04/2024
9578;Metropasse - Cartão A0885A - Jaua X Terminal de Franca;Metropasse;5,20;5;10;BA;Salvador;01/04/2024
9580;Metropasse - Cartão A0886 - Jaua / Areias X Terminal de Franca;Metropasse;5,20;5;10;BA;Salvador;01/04/2024
9582;Metropasse - Cartão A805A - Madre de Deus X Terminal Retiro;Metropasse;10,40;5;10;BA;Salvador;01/04/2024
9583;Metropasse - Cartão A824 - Areia Branca X Calçada / Via Retiro;Metropasse;5,20;5;10;BA;Salvador;01/04/2024
9584;Metropasse - Cartão A875 - Areia Branca X Barroquinha;Metropasse;5,20;5;10;BA;Salvador;01/04/2024
9587;Metropasse - Cartão A0847 Urb - Barra do Pojuca / Terminal Aeroporto X Monte Gordo;Metropasse;10,40;5;10;BA;Salvador;01/04/2024
9588;Metropasse - Cartão 889 A - Dias D´Avila - Itapuã via BA 099/Aeroporto (Expresso Luxo Vitória);Metropasse;10,40;5;10;BA;Salvador;06/05/2025
9589;Metropasse - Cartão 889 A2 - Mata São João X Itapuã Via Dias D´Avila / Terminal Aeroporto (Expresso Luxo Vitória);Metropasse;10,40;5;10;BA;Salvador;06/05/2025
9591;Metropasse - Cartão 889 - Nova Dias DÂ´ Avila X Itapuã (Expresso Luxo Vitória);Metropasse;10,40;5;10;BA;Salvador;01/04/2024
15031;Metropasse - Cartão A0860 Portão X Terminal Da França (Costa Verde);Metropasse;5,20;5;10;BA;Salvador;06/05/2024
15032;Metropasse - Cartão A0883A3 Vida Nova X Terminal Aeroporto Parque São Paulo (Expresso Luxo Vitória);Metropasse;5,20;5;10;BA;Salvador;06/05/2024
15033;Metropasse - Cartão A937 Buraquinho X Terminal Aeroporto (Expresso Luxo Vitória);Metropasse;5,20;5;10;BA;Salvador;06/05/2024
15034;Metropasse - Cartão A0885E2 Terminal Aeroporto X Residencial Recanto De Abrantes (Expresso Luxo Vitória);Metropasse;5,20;5;10;BA;Salvador;06/05/2024
15035;Metropasse - Cartão A0883 Vida Nova X Terminal Aeroporto Via Ba 099 (Expresso Luxo Vitória);Metropasse;5,20;5;10;BA;Salvador;06/05/2024
15036;Metropasse - Cartão A0885E Terminal Aeroporto X Outlet Premium (Expresso Luxo Vitória);Metropasse;5,20;5;10;BA;Salvador;06/05/2024
15037;Metropasse - Cartão A0858A Praia De Ipitanga X Terminal Aeroporto (Amarílio) (Expresso Luxo Vitória);Metropasse;5,20;5;10;BA;Salvador;06/05/2024
15038;Metropasse - Cartão A0858A2Mic Praia De Ipitanga X Terminal Aeroporto Via Praça Ar (Expresso Luxo Vitória);Metropasse;5,20;5;10;BA;Salvador;06/05/2024
15039;Metropasse - Cartão A0883 Urb Vida Nova X Terminal Aeroporto (Expresso Luxo Vitória);Metropasse;5,20;5;10;BA;Salvador;06/05/2024
15040;Metropasse - Cartão A0854 Portão X Terminal Aeroporto (Expresso Luxo Vitória);Metropasse;5,20;5;10;BA;Salvador;06/05/2024
15041;Metropasse - Cartão A0883E Terminal Aeroporto X Conjunto Brisa Via Ba 099 (Expresso Luxo Vitória);Metropasse;5,20;5;10;BA;Salvador;06/05/2024
15042;Metropasse - Cartão A 803 A2 Urb N. Dias D´Avila X Estação Do Retiro (Brisa);Metropasse;10,40;5;10;BA;Salvador;06/05/2024
15043;Metropasse - Cartão 861 I Urb Mata De São João X Terminal De Integração De Pituaçu, Via Br – 324 E Av. Gal Cota (Brisa);Metropasse;10,40;5;10;BA;Salvador;06/05/2024
15044;Metropasse - Cartão A869I Simões Filho X Terminal Retiro (Expresso Metropolitano);Metropasse;5,20;5;10;BA;Salvador;06/05/2024
